last_name,first_name,orcid_ID
Andermann,Eva,
Antel,Jack,
Armstrong,Gary,
Arnold,Douglas,
Avoli,Massimo,
Baillet,Sylvain,
Bernasconi,Andrea,
Bernasconi,Neda,
Bernhardt,Boris,
Brais,Bernard,
Chai,Xiaoqian,
Cloutier,Jean-Francois,
Collins,Donald,
Cortes,Maria,
Dagher,Alain,
de Villers-Sidani,Etienne,
Dion,Patrick,
Djordjevic,Jelena,
Doyon,Julien,
Dubeau,Francois,
Durcan,Thomas,
Durham,Heather,
Evans,Alan,
Fellows,Lesley,
Fon,Edward,
Fournier,Alyson,
Frauscher,Birgit,
Gan-Or,Ziv,
Geddes,Maiya,
Genge,Angela,
Giacomini,Paul,
Gotman,Jean,
Goulet,Benoit,
Guitton,Daniel,
Hamel,Edith,
Hastings,Kenneth,
Hoge,Richard,
Huot,Philippe,
Iturria Medina,Yasser,
Jones,Barbara,
Jones-Gotman,Marilyn,
Karamchandani,Jason,
Kennedy,Timothy,
Klein,Denise,
Kobayashi,Eliane,
Kostikov,Alexey,
Lafontaine,Anne-Louise,
Lapierre,Yves,
Legault,Catherine,
Leonard,Gabriel,
Levin,Leonard,
Lo,Benjamin,
Massie,Rami,
McBride,Heidi,
McPherson,Peter,
Milner,Brenda,
Milnerwood,Austen,
Misic,Bratislav,
Nalbantoglu,Josephine,
Narayanan,Sridar,
O'Ferrall,Erin,
Pack,Christopher,
Petrecca,Kevin,
Petrides,Michael,
Peyrache,Adrien,
Plourde,Gilles,
Poline,Jean-Baptiste,
Postuma,Ronald,
Poulin,Jean-Francois,
Ptito,Alain,
Richards,Blake,
Rouleau,Guy,
Rudko,David,
Ruthazer,Edward,
Sadikot,Abbas,
Santaguida,Carlo,
Saveriano,Alexander,
Seguela,Philippe,
Sharp,Madeleine,
Shmuel,Amir,
Shoubridge,Eric,
Sossin,Wayne,
Soucy,Jean-Paul,
Spreng,Nathan,
Stifani,Stefano,
Stratton,Jo Anne,
Stroh,Thomas,
Sziklas,Viviane,
Tardif,Christine,
Teitelbaum,Jeanne,
Trenholm,Stuart,
Trojan,Daria,
Veilleux,Martin,
Xiong,Lan,
Zatorre,Robert,
Zhou,Yang,
Ducharme,Simon,
Cote,Richard,
Elsabbagh,Mayada,
Diaz,Roberto,
Farhan,Sali,
Hall,Jeffery,0000-0001-8403-8986
La Piana,Roberta,
Sinclair,David,
Leblanc,Richard,
Massarweh,Gassan,
Sirhan,Denis,
